Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(SubSkills),Opportunity(SubSkills),KC(KTracedSkills),Opportunity(KTracedSkills)
1,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,1,Operation,2009-02-03 14:11:58.0,2009-02-03 14:14:19.0,2009-02-03 14:14:19.0,2009-02-03 14:14:19.0,141.0,141.0,,1,0,0,1,Identify operator,1,Identify operator-1,1
2,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit1-1,2009-04-16 14:24:41.0,2009-04-16 14:27:09.0,2009-04-16 14:27:15.0,2009-04-16 14:27:15.0,154.0,,154.0,0,2,0,1,,,,
3,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit2-1,2009-04-16 14:27:51.0,2009-04-16 14:28:01.0,2009-04-16 14:28:51.0,2009-04-16 14:28:51.0,59.998,,59.998,0,11,0,1,,,,
4,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit2-2,2009-04-16 14:28:51.0,2009-04-16 14:28:54.0,2009-04-16 14:29:09.0,2009-04-16 14:29:09.0,18.0,,18.0,0,9,0,1,,,,
5,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit2-3,2009-04-16 14:29:09.0,2009-04-16 14:29:11.0,2009-04-16 14:29:11.0,2009-04-16 14:29:11.0,2.0,2.0,,1,0,0,1,,,,
6,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit2-4,2009-04-16 14:29:11.0,2009-04-16 14:29:12.0,2009-04-16 14:29:23.0,2009-04-16 14:29:23.0,12.0,,12.0,0,2,0,1,,,,
7,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit2-5,2009-04-16 14:29:23.0,2009-04-16 14:29:33.0,2009-04-16 14:29:33.0,2009-04-16 14:29:33.0,10.0,10.0,,1,0,0,1,,,,
8,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit2-6,2009-04-16 14:29:33.0,2009-04-16 14:29:35.0,2009-04-16 14:29:35.0,2009-04-16 14:29:35.0,2.0,2.0,,1,0,0,1,,,,
9,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit2-7,2009-04-16 14:29:35.0,2009-04-16 14:29:36.0,2009-04-16 14:29:36.0,2009-04-16 14:29:36.0,1.0,1.0,,1,0,0,1,,,,
10,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit1-2,2009-04-16 14:27:15.0,2009-04-16 14:27:17.0,2009-04-16 14:29:39.0,2009-04-16 14:29:39.0,39.0,,39.0,0,11,0,1,,,,
11,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit1-3,2009-04-16 14:29:39.0,2009-04-16 14:29:41.0,2009-04-16 14:29:41.0,2009-04-16 14:29:41.0,2.0,2.0,,1,0,0,1,,,,
12,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit1-4,2009-04-16 14:29:41.0,2009-04-16 14:29:43.0,2009-04-16 14:29:47.0,2009-04-16 14:29:47.0,6.0,,6.0,0,1,0,1,,,,
13,stu_cc883f541b,"Unit WHOLE-NUMBER-OPERATIONS-1, Section WHOLE-NUMBER-OPERATIONS-I-1",WHOLENUMOPS1-083,2,Digit1-5,2009-04-16 14:29:47.0,2009-04-16 14:29:49.0,2009-04-16 14:29:49.0,2009-04-16 14:29:49.0,2.0,2.0,,1,0,0,1,,,,
